SSEC,SCI,FTSE100,DAX30,CAC40
2059.15,8361.67,5864.78,6754.46,3321.56
2043.65,8243.83,5833.04,6606.09,3232.46
2037.68,8242.59,5834.51,6865.66,3374.19
2051.92,8288.26,5852.42,6918.72,3401.56
2127.76,8709.07,5824.37,6967.95,3453.28
2134.89,8769.54,5857.52,6966.15,3438.26
2120.55,8739.47,5774.2,6964.99,3456.71
2126.55,8786.73,5776.6,6944.56,3435.62
2110.38,8691,5776.6,6909.68,3426.41
2123.85,8740.05,5775.71,6974.39,3450.27
2078.5,8483.69,5743.53,6946.8,3449.2
2059.54,8390.15,5719.45,6996.29,3480.49
2067.83,8431.74,5711.48,7040.88,3488.38
2024.84,8202.2,5758.41,7033.68,3480.58
2026.69,8201.53,5672.01,7089.32,3513.28
2033.19,8310.94,5657.86,7017.75,3461.65
2029.29,8284.25,5777.34,6949.57,3432.56
2004.17,8193.37,5794.8,6971.07,3433.21
2056.32,8486.27,5793.2,7047.45,3462.83
2086.17,8679.22,5792.19,7002.68,3431.55
2074.42,8540.08,5782.08,7010.57,3413.89
2115.23,8743.86,5819.92,6895.49,3379.11
2119.94,8773.68,5915.55,6970.79,3413.07
2102.87,8665.09,5893.52,7014.83,3453.71
2104.93,8650.19,5868.16,6932.58,3399.04
2098.7,8621.96,5888.48,6964.69,3405.79
2098.81,8645.54,5854.64,7167.33,3509.88
2105.62,8641.18,5852.62,7214.5,3519.05
2131.69,8798.2,5838.84,7213.7,3506.05
2128.3,8796.42,5859.71,7310.11,3537.3
2132.76,8829.44,5768.09,7343.53,3543.79
2114.45,8686.47,5779.42,7310.32,3502.09
2115.99,8653.91,5742.07,7412.13,3581.58
2101.58,8602.8,5820.45,7403.69,3553.69
2066.21,8414.85,5809.45,7347.69,3512.69
2058.94,8376.55,5825.81,7390.76,3531.82
2062.35,8394.24,5827.78,7389.49,3509.92
2068.88,8469.8,5871.02,7451.62,3530.72
2104.43,8663.15,5841.74,7413.16,3497.22
2117.05,8679.68,5810.25,7425.11,3513.81
2114.03,8654.74,5776.71,7276.51,3414.84
2106,8589.87,5829.75,7290.02,3439.32
2105.73,8561.2,5793.32,7216.15,3354.82
2071.51,8399.38,5805.61,7326.73,3434.98
2069.07,8356.67,5870.54,7305.86,3414.23
2079.27,8391.9,5910.91,7322.08,3406.02
2047.89,8234.6,5917.05,7305.21,3401.2
2055.42,8283.56,5896.15,7397.87,3457.04
2030.29,8186.06,5882.91,7291.21,3406.53
2014.72,8118.15,5797.91,7234.53,3382.78
2016.98,8060.54,5804.78,7205.23,3365.87
2008.92,8052.79,5805.05,7281.7,3413.72
2030.32,8150.84,5806.71,7232.49,3389.08
2015.61,8047.52,5795.1,7261.25,3420.28
2027.38,8114.74,5849.9,7376.27,3500.94
2017.46,8016.07,5782.7,7394.55,3527.5
1991.17,7936.74,5861.92,7437.23,3535.18
1973.52,7854.06,5868.55,7380.64,3504.56
1963.49,7808.96,5839.06,7328.05,3483.25
1980.12,7903.25,5884.9,7173.69,3406.5
1959.77,7710.88,5791.63,7192.85,3426.49
1975.14,7801.75,5776.05,7200.23,3411.53
2031.91,8091.68,5769.68,7231.85,3435.09
2029.24,8071.49,5767.27,7203.16,3408.89
2061.79,8189.68,5786.25,7284.4,3459.44
2083.77,8265.79,5722.01,7260.63,3429.27
2074.7,8220.54,5677.75,7335.67,3475.4
2082.73,8246.06,5605.59,7363.85,3492.46
2061.48,8171.35,5737.66,7326.47,3448.5
2150.63,8530.9,5748.1,7377.76,3478.66
2160.34,8600.33,5752.03,7232.83,3409.59
2162.46,8592.63,5791.03,7204.96,3407.68
2162.24,8639.56,5819.14,7163.5,3423.57
2168.35,8693.23,5786.72,7168.76,3411.65
2153.31,8658.35,5799.71,7169.12,3430.6
2159.05,8631.37,5803.28,7101.92,3400.02
2213.61,8891.57,5870.3,7043.42,3382.4
2219.13,8940.68,5866.82,6950.53,3341.52
2205.9,8939.85,5871.24,7123.84,3439.58
2233.25,9026.99,5869.04,7172.99,3462.06
2269.13,9116.48,5892.08,7184.71,3477.36
2276.99,9096.07,5901.42,7244.99,3498.22
2285.36,9108.46,5914.4,7309.13,3528.8
2276.07,9110.45,5921.63,7292.03,3500.94
2275.34,9154.87,5924.97,7332.33,3502.13
2283.66,9170.05,5945.85,7343.41,3515.19
2243,9017.73,5929.61,7400.96,3568.88
2311.74,9316.27,5921.76,7405.5,3557.28
2325.68,9381.69,5912.15,7435.21,3566.59
2309.5,9355.48,5935.9,7435.12,3580.48
2284.91,9309.23,5961.59,7454.55,3590.5
2317.07,9432.29,5958.34,7534.54,3601.65
2328.22,9562.85,5939.99,7517.8,3605.61
2315.14,9536.36,5954.18,7530.92,3612.1
2320.91,9548.31,5954.3,7589.75,3646.15
2302.6,9444.08,5925.37,7614.79,3646.66
2291.3,9357.13,5897.81,7581.98,3643.13
2346.5,9618.92,6027.37,7596.47,3643.28
